score,trad_count,world_count,trad_surprise,world_surprise
47,5618445228564793,3967183760495780,9.993344,8.626904545411046
48,7140942201229333,4910979046898705,9.647401,8.319009103106346
49,8984922304030443,6010628213027240,9.316009,8.027503985252041
50,11193770355829009,7274686502965781,8.998891,7.752134692749646
51,13810930667765157,8708198717340170,8.695776,7.492645440693533
52,16878453276117746,10311931823519525,8.406404,7.2487770448013995
53,20435326129713654,12081727884792140,8.130522,7.020264876969111
54,24515635362932954,14008036633963050,7.867885,6.806836913546624
55,29146610869639549,16075680003223462,7.618259,6.608211910366704
56,34346628376654913,18263888111000370,7.381418,6.42409774898346
57,40123251227815383,20546628328775240,7.157148,6.254190006172981
58,46471404549689351,22893227578599125,6.945244,6.098170801248757
59,53371780703441318,25269264984684270,6.745510,5.9557079746328565
60,60789577452586487,27637689796314787,6.557763,5.826454647891163
61,68673668434334934,29960100551745920,6.381830,5.710049209625395
62,76956298564663402,32198107959174615,6.217547,5.606115760901333
63,85553384395717227,34314697579840260,6.064762,5.51426503531947
64,94365480254213528,36275509938490805,5.923328,5.434095780445209
65,103279445170253902,38049964968674380,5.793106,5.365196549898205
66,112170812747354087,39612173449501415,5.673961,5.307147813861633
67,120906827121834566,40941598074127430,5.565763,5.259524259185109
68,129350064451661348,42023448224326255,5.468378,5.2218971285107285
69,137362512979745598,42848812855238280,5.381670,5.1938364409809505
70,144809940796620325,43414552998372050,5.305498,5.174912945637963
71,151566341291631624,43722987768421870,5.239709,5.164699685826888
72,157518221668013078,43781414679391290,5.184140,5.16277310328067
73,162568486673578693,43601506663391340,5.138611,5.168713686755019
74,166639683923175378,43198625417862815,5.102927,5.1821062688865
75,169676402232105648,42591085277769086,5.076873,5.202540183232534
76,171646676234883305,41799395825565305,5.060217,5.2296095858499605
77,172542309343731946,40845506909141420,5.052709,5.262914287748028
78,172378125687965848,39752077718176655,5.054082,5.302061407810547
79,171190226627438257,38541791092813400,5.064058,5.346668058068682
80,169033430825208027,37236734265954227,5.082350,5.396365124104119
81,165978103316094584,35857866748978560,5.108666,5.450802013232171
82,162106654714921075,34424594142676465,5.142715,5.5096520299386125
83,157509948809043576,32954462581014750,5.184216,5.572617832078626
84,152283892386077931,31462981911416615,5.232895,5.63943626639583
85,146526364181517039,29963576660029292,5.288499,5.709881831239389
86,140334651650668803,28467653020803480,5.350788,5.783768118548927
87,133803399444707801,26984759038298590,5.419544,5.860946870633302
88,127023103852577896,25522806327282305,5.494568,5.9413047078881185
89,120079021507938035,24088318835376660,5.575675,6.024757966430515
90,113050455155943519,22686676709427605,5.662692,6.111246386163852
91,106010240661754449,21322330217135730,5.755455,6.20072656332145
92,99024411737621323,19998968445645700,5.853803,6.293166088223344
93,92151904402003308,18719638387834240,5.957573,6.388539109114837
94,85444345654857875,17486820124802685,6.066602,6.486823707869061
95,78945863453573001,16302471277776220,6.180723,6.5880009974366205
96,72693023944120045,15168057254583800,6.299770,6.692055360313493
97,66714881583314335,14084582319246780,6.423578,6.798974894413414
98,61033240145235763,13052630658586615,6.551992,6.908751075057418
99,55663091133973346,12072418722804900,6.684866,7.021376924744342
100,50613244155051856,11143854188694724,6.822072,7.136843389095814
101,45887089510794122,10266593344594420,6.963499,7.255134128606653
102,41483436078768079,9440087767430720,7.109051,7.376219497440327
103,37397371704961189,8663612863528440,7.258650,7.500050993203471
104,33621048067136846,7936274875808590,7.412222,7.626557775408901
105,30144388614623696,7256998619048336,7.569697,7.755646774768977
106,26955619314626157,6624504282096975,7.731001,7.887207269902314
107,24041709119775647,6037286287205860,7.896047,8.021119555119947
108,21388640692533960,5493607797089085,8.064742,8.157265853925152
109,18981680119465910,4991517434455090,8.236979,8.295541304938226
110,16805547548715206,4528888417358896,8.412649,8.43586277553303
111,14844654231857239,4103475135395670,8.591643,8.578173558819072
112,13083276623221517,3712978649550105,8.773863,8.722442750873729
113,11505812292077067,3355111029457150,8.959224,8.868659260481493
114,10096971927616045,3027649006567760,9.147664,9.016821805979152
115,8842020009154293,2728470033340074,9.339139,9.166927571529305
116,7726929590817265,2455568079499915,9.533620,9.318962949127407
